Name  	% Frequency  	Approx Number  	Rank
CHRISTA	0.023	34,916 	564
CHRISTAL	0.006	9,109 	1209
CHRISTEEN	0.002	3,036 	2727
CHRISTEL	0.003	4,554 	1712
CHRISTEN	0.007	10,627 	1134
CHRISTENA	0.002	3,036 	2726
CHRISTENE	0.003	4,554 	2128
CHRISTI	0.017	25,808 	666
CHRISTIA	0.001	1,518 	4084
CHRISTIAN	0.01	15,181 	903
CHRISTIANA	0.003	4,554 	1816
CHRISTIANE	0.003	4,554 	1943
CHRISTIE	0.034	51,615 	431
CHRISTIN	0.007	10,627 	1159
CHRISTINA	0.275	417,475 	70
CHRISTINE	0.382	579,911 	43
CHRISTINIA	0.001	1,518 	3661
CHRISTOPHER	0.003	4,554 	1968
CHRISTY	0.077	116,893 	260
CHRYSTAL	0.011	16,699 	840
CHU	0.001	1,518 	4083
CHUN	0.003	4,554 	2039
CHUNG	0.002	3,036 	2198
CIARA	0.003	4,554 	1764
CICELY	0.002	3,036 	2839
CIERA	0.002	3,036 	2463
CIERRA	0.003	4,554 	1751
CINDA	0.003	4,554 	1777
CINDERELLA	0.001	1,518 	3736
CINDI	0.007	10,627 	1109
CINDIE	0.001	1,518 	4255
CINDY	0.192	291,473 	113
CINTHIA	0.004	6,072 	1607
CIRA	0.001	1,518 	3982
CLAIR	0.003	4,554 	1942
CLAIRE	0.061	92,604 	300
CLARA	0.153	232,268 	144
CLARE	0.012	18,217 	796
CLARENCE	0.001	1,518 	3901
CLARETHA	0.001	1,518 	3660
CLARETTA	0.001	1,518 	4082
CLARIBEL	0.003	4,554 	2061
CLARICE	0.018	27,326 	647
CLARINDA	0.001	1,518 	3981
CLARINE	0.002	3,036 	2761
CLARIS	0.001	1,518 	3900
CLARISA	0.001	1,518 	3735
CLARISSA	0.014	21,253 	744
CLARITA	0.002	3,036 	2917
CLASSIE	0.001	1,518 	3576
CLAUDE	0.001	1,518 	3734
CLAUDETTE	0.017	25,808 	656
CLAUDIA	0.09	136,628 	234
CLAUDIE	0.001	1,518 	3088
CLAUDINE	0.011	16,699 	864
CLELIA	0.001	1,518 	3899
CLEMENCIA	0.001	1,518 	3392
CLEMENTINA	0.002	3,036 	2185
CLEMENTINE	0.005	7,590 	1380
CLEMMIE	0.002	3,036 	2620
CLEO	0.021	31,880 	596
CLEOPATRA	0.002	3,036 	2655
CLEORA	0.002	3,036 	2885
